feature,avg_profitable,avg_unprofitable,difference,difference_pct,std_profitable,std_unprofitable,n_profitable,n_unprofitable,abs_diff_pct
bbw,0.03872830975574701,0.09473600964910875,0.05600769989336174,144.61694880719804,0.01360911838435105,0.0,5,1,144.61694880719804
r1,764.754137037037,1842.0994650000002,1077.3453279629632,140.8747302939778,1425.4583263365726,1850.2557921372206,9,4,140.8747302939778
above_sma_100,0.23809523809523808,0.5714285714285714,0.3333333333333333,140.0,0.4259177099999599,0.4948716593053935,21,7,140.0
price_range,3.6486124999999645,8.568207142857089,4.919594642857124,134.83467051809893,10.673706005690647,20.760368567437414,20,7,134.83467051809893
rsi_slope_4h,-0.5546939183693629,0.17812646897715595,0.7328203873465189,-132.11256930683422,9.662705331465368,7.314510651849915,33,14,132.11256930683422
mfi_slope_6h,-7.903508564466063,2.397373314543166,10.300881879009228,-130.33302608567647,10.45736729311648,7.198785562111047,7,3,130.33302608567647
rsi_slope_6h,-5.698492802343345,1.0402663704159183,6.738759172759264,-118.25511422929478,5.630361811513223,8.20119246297745,20,8,118.25511422929478
sma_50_slope_1h,-0.010239685664698739,6.944359839677894e-05,0.010309129263095518,-100.67818095858338,0.005158801814457069,0.0,6,1,100.67818095858338
rsi_price_divergence_cont_6h,-0.17030436698895837,-0.014816405529104182,0.1554879614598542,-91.30004368586462,0.1410779125282939,0.20711898431542047,20,8,91.30004368586462
resistance_volume_interaction,-0.18868536641333758,-0.018638359634127678,0.1700470067792099,-90.12198985622544,0.2794388785693481,0.008573634285732188,8,6,90.12198985622544
vpt,-0.9845277152292399,-0.10471492734558095,0.8798127878836589,-89.36394316525677,2.280127775332092,3.2740774127888894,26,13,89.36394316525677
mfi_slope_1d,-5.101416023756269,-0.5669203075147493,4.53449571624152,-88.8870010821561,8.821201372270451,5.53960773203967,20,6,88.8870010821561
mfi_slope_4h,6.671032350245146,0.8062094131126608,-5.864822937132486,-87.91477284497003,11.864539620968346,8.905398376446747,21,7,87.91477284497003
resistance_100,0.531595,0.11630599999999999,-0.415289,-78.12131415833483,0.7486401362103157,0.07660413450982916,10,5,78.12131415833483
buy_sell_ratio_ma20,777258.8827005227,204459.70375199,-572799.1789485327,-73.69477425055454,1468882.8057301783,122802.81731261124,13,4,73.69477425055454
dist_from_sma_20_12h,-0.04878708952041777,-0.013248934757026378,0.035538154763391394,-72.84335899668375,0.001421435039428709,0.0,2,1,72.84335899668375
support_volume_interaction,0.06439794181001651,0.017682800622267913,-0.046715141187748596,-72.54135749487956,0.04811116300661694,0.0,4,1,72.54135749487956
sma_20_slope,0.0009586078649307094,0.00032663425322668747,-0.0006319736117040219,-65.92618679898924,0.008098253728845366,0.010719011307636288,23,10,65.92618679898924
mfi_14_6h,23.80693510033207,39.47081653953804,15.663881439205973,65.79545570730558,14.031065814098426,0.49454011635702955,9,2,65.79545570730558
vpt_ma_20,-0.7244300014278253,-0.26565063780236786,0.45877936362545746,-63.32970234822135,1.0099166862465563,1.416641393632242,31,13,63.32970234822135
sma_20_slope_12h,-0.02133335206912601,-0.03394935635622981,-0.0126160042871038,59.13746815889236,0.03250227258518848,0.01604217083143894,8,2,59.13746815889236
support_strength,3.0588235294117645,4.833333333333333,1.7745098039215685,58.01282051282052,2.858847736523028,3.7155828016013257,17,6,58.01282051282052
