symbol,side,createdTime,updatedTime,avgEntryPrice,avgExitPrice,qty,closedPnl,stopLoss,takeProfit,leverage
HBARUSDT,Buy,2025-11-04 12:36:06.596,2025-11-04 12:36:06.600,0.176105,0.17397,5.0,0.01002048,0.0,0.0,20
DOGEUSDT,Buy,2025-11-04 12:37:07.451,2025-11-04 12:37:07.455,0.16659,0.16415,5.0,0.01158199,0.0,0.0,20
1000PEPEUSDT,Buy,2025-11-04 12:38:54.354,2025-11-04 12:38:54.358,0.005742,0.005712,3500.0,0.089985,0.0,0.0,20
ETHUSDT,Buy,2025-11-04 12:39:45.779,2025-11-04 12:39:45.784,3522.5133,3496.81,0.03,0.69226755,0.0,0.0,20
NEARUSDT,Buy,2025-11-04 12:40:56.310,2025-11-04 12:40:56.313,1.911,1.875,5.1,0.1763914,0.0,0.0,20
DOGEUSDT,Buy,2025-11-04 13:07:38.343,2025-11-04 13:07:38.347,0.16659,0.16346,5.0,0.01503389,0.0,0.0,20
HBARUSDT,Buy,2025-11-04 13:21:06.620,2025-11-04 13:21:06.624,0.176105,0.17287,5.0,0.0155235,0.0,0.0,20
SUIUSDT,Sell,2025-11-04 14:19:48.331,2025-11-04 14:46:13.001,2.0108,2.0565,20.0,0.8833353,0.0,0.0,20
TRXUSDT,Sell,2025-11-04 14:27:05.235,2025-11-04 14:27:05.239,0.28062,0.28103,74.0,0.01474889,0.0,0.0,20
SOLUSDT,Buy,2025-11-04 14:39:21.620,2025-11-04 14:39:21.623,161.99,159.8,0.2,0.4139424,0.0,0.0,20
1000PEPEUSDT,Buy,2025-11-04 14:51:42.192,2025-11-04 15:19:18.973,0.00579,0.005793,7000.0,-0.05140906,0.0,0.0,20
LINKUSDT,Buy,2025-11-04 14:51:51.495,2025-11-04 15:12:23.168,15.293,15.298,1.3,-0.02141425,0.0,0.0,20
NEARUSDT,Buy,2025-11-04 15:23:43.406,2025-11-04 15:23:43.409,1.937,1.928,5.5,0.0415371,0.0,0.0,20
NEARUSDT,Buy,2025-11-04 15:31:52.954,2025-11-04 15:31:52.957,1.937,1.917,5.5,0.10207037,0.0,0.0,20
1000PEPEUSDT,Sell,2025-11-04 15:33:50.763,2025-11-04 16:19:51.690,0.00571867,0.005636,11400.0,-0.99723324,0.0,0.0,20
NEARUSDT,Buy,2025-11-04 15:47:13.178,2025-11-04 15:47:13.182,1.937,1.907,0.4,0.0114255,0.0,0.0,20
ETHUSDT,Buy,2025-11-04 15:52:45.001,2025-11-04 15:52:45.005,3527.84,3506.21,0.01,0.18996016,0.0,0.0,20
SUIUSDT,Sell,2025-11-04 16:46:23.525,2025-11-04 17:02:26.825,1.9935,1.9751,10.0,-0.19885005,0.0,0.0,20
HBARUSDT,Sell,2025-11-04 16:46:28.169,2025-11-04 17:02:48.564,0.17016667,0.16822,378.0,-0.78367755,0.0,0.0,20
HBARUSDT,Sell,2025-11-04 17:31:01.184,2025-11-04 17:41:46.714,0.16961,0.1696,121.0,-0.01660145,0.0,0.0,20
HBARUSDT,Sell,2025-11-04 17:31:30.090,2025-11-04 17:31:30.094,0.16961,0.17058,5.0,0.00421129,0.0,0.0,20
HBARUSDT,Sell,2025-11-04 18:01:40.947,2025-11-04 18:04:02.635,0.16818,0.16675075,252.0,-0.39175798,0.0,0.0,20
SUIUSDT,Sell,2025-11-04 18:25:39.546,2025-11-04 18:43:56.039,1.9118,1.9455,20.0,0.6449523,0.0,0.0,20
SUIUSDT,Sell,2025-11-04 20:51:41.094,2025-11-04 21:25:04.071,1.91586667,1.8919,30.0,-0.76171155,0.0,0.0,20
SUIUSDT,Sell,2025-11-04 21:53:17.653,2025-11-04 21:55:19.807,1.8706,1.8987,10.0,0.26681595,0.0,0.0,20
KASUSDT,Buy,2025-11-04 22:44:49.750,2025-11-04 22:44:49.753,0.04449,0.04425,960.0,0.19849392,0.0,0.0,20
KASUSDT,Buy,2025-11-06 18:34:25.881,2025-11-06 21:35:16.591,0.044575,0.04584,1060.0,-1.37467902,0.0,0.0,20
1000PEPEUSDT,Buy,2025-11-06 20:32:06.186,2025-11-06 20:32:06.190,0.00556,0.005491,4100.0,0.26595859,0.0,0.0,20
WIFUSDT,Buy,2025-11-06 20:32:14.595,2025-11-06 20:32:14.598,0.4262,0.4219,55.0,0.21904932,0.0,0.0,20
HBARUSDT,Sell,2025-11-06 21:06:14.741,2025-11-06 21:06:14.745,0.16201334,0.16122,426.0,-0.38953741,0.0,0.0,20
SUIUSDT,Buy,2025-11-06 21:17:36.501,2025-11-07 01:24:50.917,1.96785,1.9955,20.0,-0.57971435,0.0,0.0,20
XRPUSDT,Sell,2025-11-06 21:44:44.639,2025-11-06 21:44:44.642,2.2011,2.212,31.5,0.29116017,0.0,0.0,20
KASUSDT,Buy,2025-11-06 21:51:37.268,2025-11-06 22:01:00.964,0.04931333,0.05036,1440.0,-1.56128736,0.0,0.0,20
