symbol,orderType,leverage,updatedTime,side,orderId,closedPnl,openFee,closeFee,avgEntryPrice,qty,cumEntryValue,createdTime,orderPrice,closedSize,avgExitPrice,execType,fillCount,cumExitValue,date,outcome
TRXUSDT,Market,20.0,1762221440073,Sell,7cafe7fc-bde0-43a2-83e2-cc85d36308d9,0.00696573,0.00022518,0.00062329,0.281485,4.0,1.12594,1762221440069,0.26916,4,0.28331,Trade,1,1.13324,2025-11-04 01:57:20.069,WIN
SOLUSDT,Market,20.0,1762223609949,Buy,732f6b43-6409-4933-be4d-47ba9b4ae3a0,0.0824365,0.0033642,0.0091993,168.21,0.1,16.821,1762223609946,175.68,0.1,167.26,Trade,1,16.726,2025-11-04 02:33:29.946,WIN
KASUSDT,Market,20.0,1762224370984,Buy,c1ea1703-9600-4b8d-814f-d35a69b2fae3,0.07989014,0.00385646,0.0105534,0.04703,410.0,19.2823,1762224370981,0.04938,410,0.0468,Trade,2,19.188,2025-11-04 02:46:10.981,WIN
ETHUSDT,Market,20.0,1762224516932,Buy,b53eb4b0-f56f-4c44-90a5-5db2f756c120,0.15060096,0.02000191,0.01989713,3636.71,0.01,36.3671,1762224516929,3690.46,0.01,3617.66,Trade,1,36.1766,2025-11-04 02:48:36.929,WIN
HBARUSDT,Market,20.0,1762234235757,Buy,13ea94fa-0baa-446b-8dad-334d91e8ba3c,1.40683711,0.01147643,0.03076314,0.17765333,323.0,57.38202668,1762225299371,0.18187,323,0.17316703,Trade,3,55.93295,2025-11-04 03:01:39.371,WIN
NEARUSDT,Market,20.0,1762233876546,Buy,04653315-32b6-4110-bba7-e506b2b92713,0.73734197,0.0060202,0.01613783,1.942,15.5,30.101,1762228709254,1.987,15.5,1.893,Trade,3,29.3415,2025-11-04 03:58:29.254,WIN
TRXUSDT,Market,20.0,1762229070472,Sell,2fc781b4-2ed0-4c27-80d8-8ff6e14c8ab2,0.01252267,0.00022518,0.00062635,0.281485,4.0,1.12594,1762229070468,0.2705,4,0.2847,Trade,2,1.1388,2025-11-04 04:04:30.468,WIN
LINKUSDT,Market,20.0,1762230979900,Buy,6953b50e-6f90-40b0-b076-245877dcbca6,0.20674303,0.00799656,0.02186041,15.378,2.6,39.9828,1762230979897,16.054,2.6,15.287,Trade,1,39.7462,2025-11-04 04:36:19.897,WIN
DOGEUSDT,Market,20.0,1762233354504,Buy,0a6a3b57-45f1-48c8-953e-8c3a095cd51c,0.01026508,0.00017091,0.00046401,0.17091,5.0,0.85455,1762233354500,0.17714,5,0.16873,Trade,1,0.84365,2025-11-04 05:15:54.500,WIN
NEARUSDT,Market,20.0,1762233360584,Buy,b3cbe665-6a18-4246-abb7-755ae84820b4,0.14484669,0.00190316,0.00515015,1.942,4.9,9.5158,1762233360580,2.006,4.9,1.911,Trade,2,9.3639,2025-11-04 05:16:00.580,WIN
HBARUSDT,Market,20.0,1762233375714,Buy,5c8efb8f-f89d-451d-98a4-73b6bb8de097,0.00615421,0.00017765,0.0004848,0.17765333,5.0,0.88826666,1762233375710,0.18514,5,0.17629,Trade,1,0.88145,2025-11-04 05:16:15.710,WIN
DOGEUSDT,Market,20.0,1762233563825,Buy,b25c4397-3ffd-4df0-badb-14bb95181355,0.01516777,0.00017091,0.00046132,0.17091,5.0,0.85455,1762233563820,0.17611,5,0.16775,Trade,1,0.83875,2025-11-04 05:19:23.820,WIN
DOGEUSDT,Market,20.0,1762233881284,Buy,9a2ce51b-07f2-4799-9085-0b002cb20811,0.43931783,0.00355493,0.00952724,0.17091,104.0,17.77464,1762233881280,0.17486,104,0.16656,Trade,3,17.32224,2025-11-04 05:24:41.280,WIN
HBARUSDT,Market,20.0,1762233983413,Buy,12c2e724-1f42-4c06-9557-c14c814b5eda,0.01630979,0.00017765,0.00047922,0.17765333,5.0,0.88826666,1762233983410,0.18298,5,0.17426,Trade,1,0.8713,2025-11-04 05:26:23.410,WIN
TRXUSDT,Market,20.0,1762242287704,Sell,1db0f426-78de-4f90-82c6-9a0094280884,-0.03305536,0.00787529,0.02165507,0.279265,141.0,39.376365,1762236148850,0.26531,141,0.27924,Trade,1,39.37284,2025-11-04 06:02:28.850,LOSS
TRXUSDT,Market,20.0,1762236914682,Sell,53ff54a0-91e0-4345-a66d-e36907fa46a0,0.00727318,0.00027926,0.00077256,0.279265,5.0,1.396325,1762236914678,0.26689,5,0.28093,Trade,1,1.40465,2025-11-04 06:15:14.678,WIN
DOGEUSDT,Market,20.0,1762237982808,Buy,4d16c453-ee5e-4e0e-8faa-aaef4dc6068c,-0.03288587,0.00811587,0.02232,0.16563,245.0,40.57935,1762236921216,0.17391,245,0.16564,Trade,2,40.5818,2025-11-04 06:15:21.216,LOSS
DOGEUSDT,Market,20.0,1762237886180,Buy,c7d4196b-9e0f-4a2e-bbfa-345799b6684d,0.00318097,0.00016563,0.0004534,0.16563,5.0,0.82815,1762237886177,0.17313,5,0.16487,Trade,1,0.82435,2025-11-04 06:31:26.177,WIN
LINKUSDT,Market,20.0,1762254391258,Buy,af2ea9a9-769d-4548-9b9e-88053cbf5c50,-0.89055869,0.01261204,0.03514665,15.01433333,4.2,63.0602,1762250942233,15.765,4.2,15.215,Trade,1,63.903,2025-11-04 10:09:02.233,LOSS
NEARUSDT,Market,20.0,1762253923400,Buy,20ab6c30-44b6-4467-8e80-405aa6590377,-0.00812678,0.00216714,0.00595964,1.901,5.7,10.8357,1762250951019,1.996,5.7,1.901,Trade,1,10.8357,2025-11-04 10:09:11.019,LOSS
DOGEUSDT,Market,20.0,1762254187957,Buy,ad661f45-f5df-4e27-adec-1442ee9b75cb,-0.01480212,0.00394723,0.01085489,0.16585,119.0,19.73615,1762250951558,0.17414,119,0.16585,Trade,2,19.73615,2025-11-04 10:09:11.558,LOSS
NEARUSDT,Market,20.0,1762251605088,Buy,b087da74-5344-406b-a1e5-f8f09ed236d9,0.04375672,0.00193902,0.00530426,1.901,5.1,9.6951,1762251605085,1.985,5.1,1.891,Trade,1,9.6441,2025-11-04 10:20:05.085,WIN
DOGEUSDT,Market,20.0,1762252352913,Buy,5026d0d1-5fb8-4c83-bea3-ac294c3ea68b,0.00393056,0.00016585,0.00045359,0.16585,5.0,0.82925,1762252352910,0.17321,5,0.16494,Trade,1,0.8247,2025-11-04 10:32:32.910,WIN
1000PEPEUSDT,Market,20.0,1762252355437,Buy,59c80d2b-3130-4ff1-925c-49b60c5ccc4c,0.092691,0.00409824,0.01121076,0.005692,3600.0,20.4912,1762252355433,0.005947,3600,0.005662,Trade,1,20.3832,2025-11-04 10:32:35.433,WIN
SOLUSDT,Market,20.0,1762253260608,Buy,f5938326-392d-4322-bbec-7fa923b654f0,0.07895405,0.0032256,0.00882035,161.28,0.1,16.128,1762253260605,168.4,0.1,160.37,Trade,1,16.037,2025-11-04 10:47:40.605,WIN
HBARUSDT,Market,20.0,1762262892686,Buy,87b9d2bc-a53e-4540-91ae-67d50a4b0027,0.87494658,0.00771342,0.020715,0.176105,219.0,38.566995,1762254276727,0.18057,219,0.17198,Trade,1,37.66362,2025-11-04 11:04:36.727,WIN
1000PEPEUSDT,Market,20.0,1762255280727,Buy,66156949-85d5-4f70-a446-c1cb4c965282,-0.3551904,0.00826992,0.02292048,0.005743,7200.0,41.3496,1762254399746,0.00603,7200,0.005788,Trade,1,41.6736,2025-11-04 11:06:39.746,LOSS
SUIUSDT,Market,20.0,1762263945073,Buy,93d61254-2962-43c0-a39c-e56e9783c67d,0.9474564,0.0082884,0.0222552,2.0721,20.0,41.442,1762254401655,2.1242,20,2.0232,Trade,2,40.464,2025-11-04 11:06:41.655,WIN
DOGEUSDT,Market,20.0,1762262718777,Buy,e52f5457-c748-46e5-862a-ee712c35577f,0.46481988,0.00379826,0.01018186,0.16659,114.0,18.99126,1762254658295,0.17049,114,0.16239,Trade,1,18.51246,2025-11-04 11:10:58.295,WIN
