trade_number,strategy,entry_date,entry_price,position_size_units,risk_amount_usd,tp_price,sl_price,capital_before_trade,is_be,pred_momentum,pred_reversion,pred_pa,exit_date,exit_price,pnl_usd,exit_reason
48,short,2025-05-04 09:00:00+00:00,1829.8,0.4148657071763889,2.5655487478436885,1817.4319073692302,1835.9840463153848,3795.606354956781,False,0,0,1,2025-05-04 13:45:00+00:00,1817.4319073692302,5.131097495687377,Take Profit
49,long,2025-05-04 14:00:00+00:00,1825.8,0.41621617400070865,2.3922916906581864,1837.2954287704067,1820.0522856147966,3799.6374524524686,False,1,1,1,2025-05-04 16:00:00+00:00,1832.11,2.6263240579444487,Model Exit Signal
50,short,2025-05-04 16:00:00+00:00,1832.11,0.4149492963315973,2.140945578626778,1821.790929224105,1837.2695353879474,3801.1637765104133,False,0,0,1,2025-05-04 16:45:00+00:00,1821.790929224105,4.281891157253556,Take Profit
51,short,2025-05-04 18:00:00+00:00,1829.87,0.41580502086680116,2.3635117727210346,1818.5016342799613,1835.5541828600192,3804.345667667667,False,0,0,1,2025-05-04 19:00:00+00:00,1825.49,1.8212259913965398,Model Exit Signal
52,long,2025-05-04 19:00:00+00:00,1825.49,0.41688170230010174,2.0091742503836074,1835.1290618216065,1820.6704690891968,3805.0668936590637,False,1,1,1,2025-05-04 20:25:00+00:00,1835.1290618216065,4.018348500767215,Take Profit
53,long,2025-05-04 21:10:00+00:00,1831.54,0.4158233226858088,2.16931834973032,1841.9738464505485,1826.3230767747257,3807.985242159831,False,1,1,1,2025-05-04 22:00:00+00:00,1826.3230767747257,-2.16931834973032,Stop Loss
54,short,2025-05-04 22:20:00+00:00,1824.62,0.41704200587630313,2.6155869210905935,1812.0764821565413,1830.8917589217292,3804.715923810101,False,0,0,0,2025-05-04 22:30:00+00:00,1812.0764821565413,5.231173842181187,Take Profit
55,short,2025-05-04 23:00:00+00:00,1815.21,0.4196591135628695,3.1934672051962796,1799.9906607697185,1822.8196696151408,3808.847097652282,False,0,0,1,2025-05-05 00:00:00+00:00,1807.71,3.1474433517215212,Model Exit Signal
56,long,2025-05-05 00:00:00+00:00,1807.71,0.42162675882790973,3.5735402655852817,1824.6612024119127,1799.2343987940437,3810.8945410040037,False,1,1,1,2025-05-05 01:00:00+00:00,1813.86,2.5930045667915875,Model Exit Signal
57,short,2025-05-05 01:00:00+00:00,1813.86,0.4203618300828945,3.093845140278531,1799.140085303328,1821.2199573483358,3812.3875455707953,False,0,0,1,2025-05-05 01:30:00+00:00,1799.140085303328,6.187690280557062,Take Profit
58,long,2025-05-05 02:00:00+00:00,1788.0,0.42701065277979333,4.644019754292439,1809.7513063154765,1777.1243468422617,3817.4752358513524,False,1,1,1,2025-05-05 05:55:00+00:00,1809.7513063154765,9.288039508584879,Take Profit
