timestamp,proba_long,proba_short,proba_diff,decision,base_prob_threshold,base_diff_threshold,ict_mode,cooldown_blocked,cooldown_remaining_minutes
2025-10-23 22:00:00,0.13260342326811458,0.06615393302710253,0.06644949024101206,HOLD,0.7,0.3,False,,
2025-10-23 22:15:00,0.15651708065830655,0.07473664231158743,0.08178043834671912,HOLD,0.7,0.3,False,,
2025-10-23 22:30:00,0.12137360449161198,0.0750375552645312,0.04633604922708079,HOLD,0.7,0.3,False,,
2025-10-23 22:45:00,0.13900981446643726,0.08266694036872603,0.05634287409771123,HOLD,0.7,0.3,False,,
2025-10-23 23:00:00,0.09581939178931462,0.07643537188054525,0.019384019908769368,HOLD,0.7,0.3,False,,
2025-10-23 23:15:00,0.10035065949225976,0.08933316710685354,0.01101749238540621,HOLD,0.7,0.3,False,,
2025-10-23 23:30:00,0.11263059426819001,0.07244766050854434,0.04018293375964567,HOLD,0.7,0.3,False,,
2025-10-23 23:45:00,0.10933618709949063,0.06738707818586741,0.04194910891362322,HOLD,0.7,0.3,False,,
2025-10-24 00:00:00,0.10401501524327104,0.09910915316081846,0.004905862082452583,HOLD,0.7,0.3,False,,
2025-10-24 00:15:00,0.7604098746588359,0.07036450397905286,0.6900453706797831,LONG,0.7,0.3,False,,
2025-10-24 07:45:00,0.19826327142095557,0.08525896647171603,0.11300430494923953,HOLD,0.7,0.3,False,,
2025-10-24 08:00:00,0.15768962217428312,0.09294468878895477,0.06474493338532834,HOLD,0.7,0.3,False,,
2025-10-24 08:15:00,0.2002474608411393,0.09854834284652896,0.10169911799461036,HOLD,0.7,0.3,False,,
2025-10-24 08:30:00,0.20130468394959455,0.07202605246760348,0.1292786314819911,HOLD,0.7,0.3,False,,
2025-10-24 08:45:00,0.11177416909675314,0.18791024828472186,0.07613607918796872,HOLD,0.7,0.3,False,,
2025-10-24 09:00:00,0.16744202260937704,0.1146437784239005,0.052798244185476545,HOLD,0.7,0.3,False,,
2025-10-24 09:15:00,0.10772054941892165,0.18919576590828885,0.0814752164893672,HOLD,0.7,0.3,False,,
2025-10-24 09:30:00,0.09025997967951663,0.2703281029881928,0.1800681233086762,HOLD,0.7,0.3,False,,
2025-10-24 09:45:00,0.10350392184069854,0.24733895356019667,0.14383503171949813,HOLD,0.7,0.3,False,,
2025-10-24 10:00:00,0.1006921659300639,0.24546030250695822,0.1447681365768943,HOLD,0.7,0.3,False,,
2025-10-24 10:15:00,0.09707838514035567,0.3086600948229165,0.21158170968256085,HOLD,0.7,0.3,False,,
2025-10-24 10:30:00,0.19219725436110882,0.13336923051908534,0.058828023842023486,HOLD,0.7,0.3,False,,
2025-10-24 10:45:00,0.19259914440514947,0.17652642558734372,0.016072718817805753,HOLD,0.7,0.3,False,,
2025-10-24 11:00:00,0.2193064328756655,0.13068260122089304,0.08862383165477247,HOLD,0.7,0.3,False,,
2025-10-24 11:15:00,0.16449010020930901,0.17391487083437257,0.009424770625063555,HOLD,0.7,0.3,False,,
2025-10-24 11:30:00,0.23412072566416497,0.12275829577330083,0.11136242989086415,HOLD,0.7,0.3,False,,
2025-10-24 11:45:00,0.20549836748177466,0.14705815642926953,0.05844021105250513,HOLD,0.7,0.3,False,,
