symbol,orderType,leverage,updatedTime,side,orderId,closedPnl,openFee,closeFee,avgEntryPrice,qty,cumEntryValue,createdTime,orderPrice,closedSize,avgExitPrice,execType,fillCount,cumExitValue,createdTime_readable,updatedTime_readable,ticker,date
ONDOUSDT,Market,20,1762538937333,Buy,10a2a977-cc8d-44a8-8853-efa8b6bd1e81,-1.08386068,0.00738136,0.02087932,0.65905,56.0,36.9068,1762534361085,0.692,56.0,0.6779,Trade,1,37.9624,2025-11-07 16:52:41,2025-11-07 18:08:57,ONDOUSDT,2025-11-07
ONDOUSDT,Market,20,1762533307524,Buy,f365c331-b94c-4ccb-b438-6c4f7de02df5,-1.51167398,0.0133553,0.03753173,0.63596666,105.0,66.7765,1762530587889,0.6677,105.0,0.6499,Trade,1,68.2395,2025-11-07 15:49:47,2025-11-07 16:35:07,ONDOUSDT,2025-11-07
ONDOUSDT,Market,20,1762529194472,Buy,ae3d3442-cca5-4f0f-ba11-7c1e24dcf765,-0.97220268,0.01335888,0.0372438,0.61846666,108.0,66.7944,1762527757825,0.6493,108.0,0.627,Trade,2,67.716,2025-11-07 15:02:37,2025-11-07 15:26:34,ONDOUSDT,2025-11-07
ONDOUSDT,Market,20,1762526922483,Buy,416cc02b-8b79-4a91-b269-db2dbf9a43ec,-0.1840839,0.0042644,0.0118195,0.6092,35.0,21.322,1762526691564,0.6396,35.0,0.614,Trade,1,21.49,2025-11-07 14:44:51,2025-11-07 14:48:42,ONDOUSDT,2025-11-07
ONDOUSDT,Market,20,1762526236076,Buy,7c0ad3d1-954d-4700-aaef-3cb349624d6c,0.09736584,0.00133078,0.00360338,0.6049,11.0,6.6539,1762526236073,0.6251,11.0,0.5956,Trade,1,6.5516,2025-11-07 14:37:16,2025-11-07 14:37:16,ONDOUSDT,2025-11-07
ONDOUSDT,Market,20,1762526612526,Buy,92ff43a6-8e54-49c4-95bc-98da4f2191c1,-0.02676683,0.00713782,0.01962901,0.6049,59.0,35.6891,1762524206224,0.6351,59.0,0.6049,Trade,1,35.6891,2025-11-07 14:03:26,2025-11-07 14:43:32,ONDOUSDT,2025-11-07
ONDOUSDT,Market,20,1762522774307,Sell,fb400f12-04d0-4fd1-9495-394107807fd9,0.52632936,0.01287072,0.03571128,0.59586667,108.0,64.3536,1762522774303,0.5715,108.0,0.6012,Trade,3,64.9296,2025-11-07 13:39:34,2025-11-07 13:39:34,ONDOUSDT,2025-11-07
ONDOUSDT,Market,20,1762514160435,Sell,ae7aa884-ad59-46df-8db6-616d16ad41d7,-0.84922875,0.01377804,0.03745071,0.6043,114.0,68.8902,1762513448530,0.5741,114.0,0.5973,Trade,1,68.0922,2025-11-07 11:04:08,2025-11-07 11:16:00,ONDOUSDT,2025-11-07
ONDOUSDT,Market,20,1762492222489,Buy,68a2bac5-dc67-4a6f-a491-318cf7e003e7,-1.05315019,0.014924,0.04159122,0.60666666,123.0,74.62,1762481185964,0.637,123.0,0.6148,Trade,1,75.6204,2025-11-07 02:06:25,2025-11-07 05:10:22,ONDOUSDT,2025-11-07
PONKEUSDT,Market,20,1762542306388,Buy,938b14df-0155-4053-aeaa-7b5120c78069,-1.5603433,0.00888638,0.02527692,0.05405333,822.0,44.43184,1762538949767,0.05675,822.0,0.05591,Trade,1,45.95802,2025-11-07 18:09:09,2025-11-07 19:05:06,PONKEUSDT,2025-11-07
