feature,importance
ICHIMOKU_cloud_thickness_1h,0
ICHIMOKU_tk_cross_1h,0
OBV_1h,0
VWAP_D_1h,0
DMN_14_3h,0
DMP_14_3h,0
ICHIMOKU_tk_cross_4h,0
EMA_20_1h,0
EMA_50_1h,0
EMA_200_1h,0
BBM_20_2.0_2.0_1h,0
BBU_20_2.0_2.0_1h,0
ADX_14_1h,0
ADXR_14_2_1h,0
DMP_14_1h,0
DMN_14_1h,0
ICHIMOKU_dist_price_kijun_2h,0
FIBO_nearest_level_2h,0
FIBO_distance_to_nearest_2h,0
HURST_100_2h,0
ATRr_14_3h,0
EMA_200_2h,0
ITS_9_2h,0
IKS_26_2h,0
ICS_26_2h,0
ICHIMOKU_price_vs_cloud_2h,0
ICHIMOKU_cloud_color_2h,0
ICHIMOKU_cloud_thickness_4h,0
ICHIMOKU_tk_cross_2h,0
DMN_14_2h,0
OBV_2h,0
VWAP_D_2h,0
AROOND_25_2h,0
VWAP_D_5m,0
EMA_20_2h,0
EMA_50_2h,0
BBL_20_2.0_2.0_2h,0
BBM_20_2.0_2.0_2h,0
BBU_20_2.0_2.0_2h,0
ADXR_14_2_5m,0
ADX_14_2h,0
ADXR_14_2_2h,0
DMP_14_2h,0
ICHIMOKU_tk_cross_3h,0
BBU_20_2.0_2.0_5m,0
FIBO_relative_position_3h,0
FIBO_nearest_level_3h,0
FIBO_distance_to_nearest_3h,0
HURST_100_3h,0
RSI_14_4h,0
EMA_50_3h,0
EMA_200_3h,0
ITS_9_3h,0
IKS_26_3h,0
ICS_26_3h,0
ICHIMOKU_price_vs_cloud_3h,0
ICHIMOKU_cloud_color_3h,0
ICHIMOKU_cloud_thickness_3h,0
EMA_20_3h,0
MACDh_12_26_9_3h,0
BBL_20_2.0_2.0_3h,0
BBM_20_2.0_2.0_3h,0
BBU_20_2.0_2.0_3h,0
BBB_20_2.0_2.0_3h,0
ADX_14_3h,0
ICHIMOKU_dist_price_kijun_4h,0
HURST_100_5m_lag_3,0
BBM_20_2.0_2.0_5m,0
MARKET_REGIME_TREND,0
INTERACTION_ICHIMOKU_ADX,0
WAVELET_NRG_2_8_lag_2,0
WAVELET_NRG_2_8_lag_3,0
HURST_100_5m_lag_1,0
HURST_100_5m_lag_2,0
WAVELET_NRG_65_128,0
VWAP_D_10m,0
ADXR_14_2_3h,0
day_sin,0
day_cos,0
MACDh_12_26_9_5m,0
FIBO_nearest_level_20m,0
DMN_14_4h,0
ATRr_14_5m,0
EMA_20_5m,0
EMA_50_5m,0
EMA_200_5m,0
ITS_9_5m,0
IKS_26_5m,0
ICS_26_5m,0
DMP_14_4h,0
OBV_4h,0
VWAP_D_4h,0
ADXR_14_2_4h,0
ICHIMOKU_cloud_color_4h,0
ICHIMOKU_price_vs_cloud_4h,0
ICS_26_4h,0
OBV_10m,0
FIBO_nearest_level_4h,0
IKS_26_4h,0
RSI_14_10m,0
ATRr_14_10m,0
MACDh_12_26_9_10m,0
BBL_20_2.0_2.0_10m,0
BBM_20_2.0_2.0_10m,0
BBU_20_2.0_2.0_10m,0
ICHIMOKU_cloud_thickness_5m,0
ITS_9_4h,0
BBL_20_2.0_2.0_5m,0
EMA_200_4h,0
VWAP_D_15m,0
AROONOSC_25_15m,0
EMA_20_15m,0
EMA_50_15m,0
EMA_200_15m,0
ITS_9_15m,0
BBL_20_2.0_2.0_25m,0
BBM_20_2.0_2.0_25m,0
BBU_20_2.0_2.0_25m,0
EMA_50_4h,0
ADXR_14_2_25m,0
DMP_14_25m,0
EMA_20_4h,0
